player_id,player_name,height,hand,avg_minutes,avg_aces,avg_df,avg_svpt,avg_first_in,avg_first_won,avg_second_won,avg_sv_gms,avg_bp_saved,avg_bp_faced,Wins,Losses,Matches_Played,Win_Pct,titles_won
105586,Alexandar Lazov,183,L,59.0,1.0,2.0,54.0,36.0,20.0,1.0,8.0,5.0,11.0,1,3,4,25.0,
105587,Tom Kocevar Desman,180,R,59.0,2.0,1.0,45.0,28.0,22.0,11.0,8.0,1.0,2.0,1,3,4,25.0,
105589,Gerald Melzer,188,L,110.27,4.27,2.8,80.27,52.2,35.2,13.91,12.57,4.77,8.02,18,29,47,38.3,
105596,Jan Satral,185,R,118.6,8.6,4.8,99.8,55.2,39.4,19.8,14.4,8.6,12.6,1,4,5,20.0,
105613,Norbert Gombos,193,R,112.68,5.09,3.65,83.96,51.94,36.57,14.86,12.83,4.67,7.87,25,54,79,31.65,
105614,Bradley Klahn,183,L,102.44,8.74,4.5,82.15,48.97,35.62,17.32,12.76,4.03,6.5,9,25,34,26.47,
105633,Mohamed Safwat,180,R,127.05,4.85,2.95,91.45,56.75,38.7,16.95,14.0,5.2,8.8,13,19,32,40.62,
105634,Viktor Galovic,193,R,109.25,4.88,3.38,85.5,55.62,39.62,13.88,13.25,4.0,7.12,3,5,8,37.5,
105641,Blaz Rola,193,L,111.0,4.13,2.87,81.13,52.8,34.07,14.73,12.0,5.0,8.2,8,13,21,38.1,
105643,Federico Delbonis,193,L,117.02,3.53,3.63,81.13,49.8,34.04,15.72,12.5,4.58,7.69,124,151,275,45.09,1
105649,Cedrik Marcel Stebe,183,L,105.76,4.02,3.02,76.88,47.76,31.64,13.62,11.98,4.24,8.0,17,27,44,38.64,
105650,Marcus Willis,191,L,102.0,11.5,7.0,110.5,68.5,47.5,18.0,13.0,13.0,16.0,1,1,2,50.0,
105655,Hiroki Moriya,168,R,108.8,1.4,2.6,80.6,51.0,30.4,13.2,11.6,7.0,11.4,2,6,8,25.0,
105656,Marcelo Arevalo,193,R,104.36,4.45,3.45,79.09,48.82,34.73,16.73,13.0,3.64,6.0,25,5,30,83.33,
105657,Marius Copil,191,R,109.37,11.3,3.21,83.06,47.64,36.17,18.51,13.21,3.87,6.23,48,72,120,40.0,
105668,Jerzy Janowicz,203,R,114.26,9.29,4.83,90.54,57.97,42.43,15.97,14.09,4.66,7.31,31,33,64,48.44,
105671,Gastao Elias,180,R,112.54,4.19,2.93,79.0,41.98,30.05,18.49,12.28,3.89,7.04,22,36,58,37.93,
105676,David Goffin,180,R,111.92,5.42,3.13,79.67,46.65,33.37,16.52,12.4,4.25,7.05,294,200,494,59.51,4
105677,Nikola Cacic,183,R,95.0,1.0,2.5,77.0,44.5,26.5,15.0,11.5,4.0,8.0,1,1,2,50.0,
